T [s],p [Pa]
0.074917,0.0023784
0.075,0.0023086
0.075083,0.0021341
0.075167,0.0018848
0.07525,0.0016922
0.075333,0.0015468
0.075417,0.0012984
0.0755,0.0012797
0.075583,0.0015601
0.075667,0.0018221
0.07575,0.0019159
0.075833,0.0019268
0.075917,0.0022301
0.076,0.0026288
0.076083,0.0028124
0.076167,0.0029504
0.07625,0.0030134
0.076333,0.0029462
0.076417,0.0027915
0.0765,0.0027775
0.076583,0.0028775
0.076667,0.0029583
0.07675,0.0032835
0.076833,0.0035962
0.076917,0.0037182
0.077,0.003956
0.077083,0.0041279
0.077167,0.0040299
0.07725,0.0038497
0.077333,0.003619
0.077417,0.0032628
0.0775,0.0029228
0.077583,0.0026542
0.077667,0.0024685
0.07775,0.0023251
0.077833,0.0021426
0.077917,0.0021303
0.078,0.0022344
0.078083,0.0023225
0.078167,0.0024319
0.07825,0.002371
0.078333,0.0024053
0.078417,0.002757
0.0785,0.0028974
0.078583,0.0028957
0.078667,0.0032179
0.07875,0.0034332
0.078833,0.0033176
0.078917,0.0032715
0.079,0.0033962
0.079083,0.003662
0.079167,0.0038474
0.07925,0.0039594
0.079333,0.0041845
0.079417,0.0042463
0.0795,0.0042485
0.079583,0.0043572
0.079667,0.0042027
0.07975,0.0039418
0.079833,0.0040333
0.079917,0.0041694
0.08,0.0041157
0.080083,0.0041497
0.080167,0.0042051
0.08025,0.0043122
0.080333,0.0045128
0.080417,0.0045029
0.0805,0.0044808
0.080583,0.0045639
0.080667,0.0044728
0.08075,0.0042298
0.080833,0.0037645
0.080917,0.0032914
0.081,0.0031892
0.081083,0.0032408
0.081167,0.0032993
0.08125,0.0032764
0.081333,0.00319
0.081417,0.0031922
0.0815,0.0031565
0.081583,0.0031209
0.081667,0.0030883
0.08175,0.0030412
0.081833,0.0030247
0.081917,0.0029325
0.082,0.0028731
0.082083,0.0028994
0.082167,0.0029086
0.08225,0.0028457
0.082333,0.0028366
0.082417,0.0029319
0.0825,0.002882
0.082583,0.0027901
0.082667,0.0027536
0.08275,0.0026753
0.082833,0.0026069
0.082917,0.0024692
0.083,0.002212
0.083083,0.0019269
0.083167,0.0017114
0.08325,0.0014253
0.083333,0.0009731
